transaction_id,field_changed,old_value,new_value,changed_at,user_id,is_ai,comment,transaction_type,change_id
185f4d7b-9016-4067-ab46-80e883138dc3,category,front,like,2025-06-10 14:46:11,682192c4-4a9a-4315-b1e6-b1eb25ca39f8,1,Adjustment by auditor,adjustment,01a1d08f-d9c7-445b-9687-46731f14c5f4
17310a65-a3d3-4c6d-8157-950204dd1c0b,amount,427,432,2025-04-16 08:48:26,5afb410b-9208-4c02-ae4e-7b09ec68b3bc,1,Review needed,sale,d899c0e4-3023-4725-bfb4-197d9907a4c4
80ba0f9e-5658-4eaf-bdf5-6e0a9e6b5b70,status,method,suddenly,2025-05-06 23:49:07,f1a16536-695d-4ff7-9208-8100c0519007,1,Adjustment by auditor,correction,570598d1-d82d-431f-8974-b469c4e926e5
93f05432-cbec-4a78-b2f3-c0046dd99b41,status,including,know,2025-07-10 16:10:05,591271a4-e7e2-4128-aa97-03ba5ffaee10,1,Validated by user,refund,76f163cf-96f2-40e7-8602-1416e3054997
70c5d0aa-1b89-4921-b1d3-8803a1f2817c,currency,daughter,about,2025-05-22 08:19:25,0416509b-1eda-4b2e-ae3e-8878ceaf7884,0,Auto correction,refund,8411a9b0-3dd4-48b8-898c-d47d10679e6d
05594f97-2bfe-414c-942d-9d89dd0cce6a,description,cell,section,2025-05-09 04:02:01,82a93ab0-7204-40a0-aabb-1173d9a011f2,1,AI identified anomaly,adjustment,c7ee2c14-48dd-47b5-990f-e566d5d64ff8
6dd7ceee-eb6e-43ec-8a06-cef59157ab13,amount,101,72,2025-04-12 19:59:42,e6e61efb-65fd-4207-9d54-39bf595433b6,1,Review needed,sale,8d1c8eba-783e-48c5-bf8e-96bd2dc2d5dd
57ec7b4d-9504-49bd-99a5-765cddee79f3,description,world,wall,2025-05-21 07:31:33,bdd04cfc-b521-402a-9259-d06f833c7669,1,Manual fix,correction,cfb5135b-5994-4699-9ac0-70647760161f
b5afda72-17c6-4bff-8aad-09ad604cd12e,currency,our,poor,2025-04-21 19:01:32,cda29396-9f44-404e-aab5-22e9772880f2,0,AI identified anomaly,adjustment,2a6b6b8d-ca95-411a-b21c-8b90e8773c7d
06c13737-25f4-4cdf-8fc7-7fac173d1d5a,category,year,successful,2025-05-25 04:30:57,6f719474-03f9-4eb9-8328-7072319d0fbc,0,Manual fix,adjustment,a44b939a-a79c-4d3d-8b57-407fd4e38ba5
6035c44c-b63e-45fa-b26b-e7837f76083d,category,base,interest,2025-05-09 19:33:15,740dd0d4-cd6b-4320-97cf-a45ed0b61c86,1,Review needed,sale,7db3632f-1b73-47f7-ad69-c4e9840bbec8
e7c2e1ae-cbf5-4580-9387-ca5dc8c22963,description,blood,forward,2025-05-07 07:41:09,82a641f5-a865-4a58-bc36-c93337cc92e2,0,Manual fix,correction,5fe72958-c7df-4626-b2b5-cbe8d4adb2e7
5e03d371-2552-47d6-8bcb-2006e1bd0ee8,currency,important,when,2025-06-21 04:16:12,6ab4fd0d-6907-4086-b1c1-39bba99fe563,0,Manual fix,sale,10a4f8a0-d10e-4db5-bcc1-96842ed59845
7e8eeaa2-430b-4c8c-993f-977775356b9b,status,authority,where,2025-05-28 02:54:11,2db09494-2e36-413c-9e9e-0b91fd1fce56,1,AI identified anomaly,correction,69a29569-acc1-4192-9826-268afad90ead
3bda1f6d-a795-4399-9699-24b42d3636ad,category,stock,start,2025-04-17 15:59:01,d236c814-1be7-423a-be89-4d6217c43080,1,AI identified anomaly,refund,cc82a2ee-23ff-44e3-9f3e-ff4cb84f049f
1c584b11-53f6-46bc-8b12-7077fc337b08,status,understand,morning,2025-05-30 15:26:32,f205710f-f70d-4a72-8694-a9ba73bb847b,1,Review needed,adjustment,95ccc6dd-c222-46da-bb46-98c1f47ce619
be66ca6d-4718-4ec0-a905-8f6585007fb2,currency,on,part,2025-07-03 19:54:03,441143e1-cfcf-48e6-ba54-4eb5f76a57cc,0,Manual fix,refund,8357f11d-621e-4ebd-b3c2-12d788c6bd4f
1cbb3b87-a19f-4769-bf84-869f54c100da,category,once,article,2025-06-07 12:06:22,c6acabd4-cb56-4f92-88bb-3957c9cde330,0,AI identified anomaly,adjustment,c2ece4de-2625-4d76-9f8e-a224ffac3bfa
fcb2790a-20b1-4fe2-937e-07f38e1ec987,category,heavy,officer,2025-04-21 08:18:35,18402ab8-692c-49e0-8f7a-af711af3d836,1,Auto correction,adjustment,2b88b4c9-7a19-47cd-9d80-243d6e4d0595
66890029-6803-4197-b092-b5670cffcc84,status,game,rule,2025-04-25 01:37:59,57cb466a-aa41-4a92-aa18-d4b04f695bd9,1,Validated by user,correction,5b801088-7e6b-4625-aa29-d82c1653c46a
04fb30e7-a136-42d2-be0d-100e6857e6f4,category,itself,pretty,2025-07-10 17:09:23,75631b41-c891-4383-8c83-021778473c14,1,Auto correction,sale,911958dd-cb80-457b-8c8b-a3e1d1bac178
b844ec88-068f-4e7f-a22b-4b632582e33a,currency,they,system,2025-04-23 23:25:42,00cda461-5a7d-421e-9a47-925773bdfe4a,0,AI identified anomaly,adjustment,78fa066b-025b-44fc-b8f0-8b522547280d
da5ca197-975b-4dfd-942a-d64767a37770,description,medical,baby,2025-06-09 17:52:09,3c61640a-a435-446b-96d1-ace3b39d2cae,0,Review needed,refund,c7e983f0-db8c-4647-b2ed-dffcc4da8456
d88b58fb-87c0-4220-8503-1562685c1afb,amount,292,243,2025-06-28 21:48:51,cecc4487-9100-4b4f-9b29-97b975b9198d,0,Validated by user,adjustment,4bd0f8ce-466d-410a-8629-b8e3faa21a8c
f968f0ff-7ed5-4018-8c35-c125b2c46a0d,description,cost,plan,2025-07-01 16:49:19,c3325804-64ac-4988-9372-48738fdeed82,1,Auto correction,sale,398a0d3c-f2a0-4f88-acbd-f3f5a05a5399
f871491b-31f0-4ef3-93f9-5441cec923c9,description,left,his,2025-04-18 02:22:20,381b6755-c3c3-42f2-b654-03b471737924,1,Review needed,correction,163f7fd5-2764-49b9-ae50-71b62ad8c6a8
cf082a1c-a235-42c0-be47-c20d6772d5bc,description,under,finish,2025-05-31 19:57:53,b567f041-5b08-4e70-9d7e-cea8c665283a,1,AI identified anomaly,sale,fa2508ec-23e7-45eb-a148-f0084324f8b6
09361026-7b90-417e-9bdb-a2ae6a8093d8,status,establish,image,2025-07-06 02:15:08,16263d6a-3e0f-4d9e-b26d-05192017fc36,0,Auto correction,adjustment,699adb96-9658-4af9-ac37-6283460ec5d8
4dab81b2-b044-420e-ac96-8815504bcd60,status,end,concern,2025-04-28 15:39:21,53d8c19e-b02f-447d-943a-371dc34be69a,1,AI identified anomaly,sale,be75e96b-8e97-45d8-a861-695179d976d9
99d4567f-e8da-4886-aac0-4c15b4f9a04d,currency,movie,how,2025-04-24 16:38:30,dfef9738-4999-4092-bc43-530abe706979,1,Manual fix,adjustment,7422a73d-a8e7-4ed3-a089-112cdcf4c165
6b2f9c89-e003-4bda-b63b-245af2b3e74e,currency,realize,public,2025-04-28 13:40:44,c34b30d6-07dc-4cb9-87da-94fe264a031b,1,Review needed,sale,08996367-e620-4837-a17d-b78cdacc7513
21c4c5f8-d2bc-45c0-b04f-958b66f24d74,currency,church,nothing,2025-06-16 10:04:03,211acfb6-33d1-4cc2-b344-51abd4378e6e,0,Validated by user,refund,169ee7dd-e7b8-4b35-9ccb-36ba28c43516
08067537-8686-4812-b7b3-0aea5505eb99,status,man,sometimes,2025-05-15 19:08:37,e6efcfe4-54a0-475d-9c21-55fcefa4843a,0,Manual fix,refund,397d6cc8-990c-4722-b03e-20f1bbfa4b1a
46ba7684-219d-4bd0-be33-c674b58417af,amount,671,717,2025-04-23 02:25:49,e52991b0-d957-44b7-956d-063a51a48c29,1,Review needed,refund,c9eaca15-dc92-4294-8dd8-28ba337e2c72
5adbdc9a-bbc8-497b-97ff-9ddcad94f839,currency,college,be,2025-06-21 16:16:27,f26a4d4a-57e5-4259-9a81-0faa78326f46,1,Auto correction,refund,a4384e10-5be5-4704-a19d-d7ac6494d172
6723229e-fcd0-4b81-8777-dba82aaa5384,status,pay,hard,2025-06-01 13:07:33,bba030ca-a726-4735-876b-5f94d7db440a,0,Manual fix,refund,4e7108de-258b-4f90-bf52-6bb66cd3d3e4
dc8fd3cb-dd2b-40be-8f3e-5601a0040b6d,description,near,lawyer,2025-06-08 09:27:17,52609c4b-03f0-4cb4-991b-284b48a9417e,0,Review needed,refund,49cf5160-69b5-4929-9fbc-05ab5ade925d
